,carat,x_dimension,y_dimension,z_dimension,depth,table,price,cut_encoded,clarity_encoded,color_encoded
95,0.45,4.8,4.79,2.97,62.8,56.0,1500.0,4.0,2.0,2.0
96,0.95,6.3,6.31,3.92,62.8,56.0,6800.0,2.0,2.0,3.0
97,1.05,6.7,6.68,3.92,62.5,57.0,7300.0,3.0,0.0,7.0
98,0.55,5.3,5.29,3.92,62.1,58.0,3100.0,1.0,4.0,2.0
99,0.65,5.6,5.59,3.46,62.1,56.0,3300.0,0.0,2.0,1.0
100,0.65,6.5,6.51,4.03,62.3,56.0,7700.0,3.0,3.0,5.0
101,0.8,6.0,6.51,3.72,62.3,57.0,5900.0,1.0,5.0,4.0
102,1.15,6.8,6.82,4.21,62.6,58.0,9300.0,2.0,1.0,3.0
103,0.7,5.7,5.68,3.52,62.5,58.0,4200.0,4.0,2.0,2.0
104,1.3,7.0,5.68,4.33,62.7,56.0,9800.0,3.0,0.0,1.0
105,0.4,4.8,4.77,2.96,62.7,55.0,2700.0,1.0,4.0,4.0
106,0.4,5.6,5.58,2.96,62.2,59.0,2900.0,1.0,2.0,5.0
107,0.85,6.1,6.09,3.78,62.2,56.0,6500.0,2.0,5.0,6.0
108,1.2,6.9,6.89,3.78,62.8,54.0,10100.0,0.0,3.0,3.0
109,0.5,5.1,6.89,3.16,62.3,57.0,3000.0,3.0,1.0,2.0
110,1.05,6.6,6.59,4.08,62.3,58.0,7400.0,2.0,0.0,1.0
111,0.45,4.9,6.59,3.02,62.4,55.0,2600.0,1.0,3.0,5.0
112,0.75,5.8,5.77,3.59,62.4,56.0,4600.0,4.0,2.0,4.0
113,0.75,6.3,6.28,3.59,62.5,57.0,7200.0,3.0,5.0,3.0
114,0.6,5.5,5.49,3.59,62.1,56.0,3600.0,1.0,4.0,2.0
115,0.9,6.2,6.21,3.84,62.1,59.0,6800.0,3.0,2.0,2.0
116,1.1,6.7,6.21,4.15,62.2,56.0,9500.0,2.0,4.0,5.0
117,1.1,6.5,6.52,4.04,62.2,58.0,7600.0,1.0,5.0,1.0
118,0.45,4.9,4.88,4.04,62.5,54.0,2100.0,0.0,1.0,4.0
119,0.7,5.7,4.88,3.54,62.4,55.0,4300.0,4.0,3.0,3.0
120,0.7,5.4,5.41,3.35,62.4,56.0,2200.0,3.0,0.0,7.0
121,0.8,6.0,5.41,3.72,62.7,57.0,6300.0,2.0,3.0,2.0
122,1.25,6.9,5.41,4.26,62.7,58.0,10400.0,1.0,2.0,6.0
123,0.55,5.4,5.39,3.33,62.6,58.0,2800.0,0.0,1.0,1.0
124,0.55,6.3,5.39,3.9,62.3,59.0,7800.0,3.0,4.0,5.0
125,0.65,5.6,5.57,3.47,62.3,56.0,3400.0,2.0,0.0,3.0
126,1.3,7.0,5.57,4.33,62.7,58.0,10200.0,0.0,2.0,2.0
127,0.5,5.2,5.19,4.33,62.8,55.0,3200.0,4.0,4.0,1.0
128,0.85,6.1,6.11,3.78,62.8,57.0,6400.0,2.0,2.0,4.0
129,0.85,5.6,6.11,3.46,62.4,59.0,2300.0,1.0,0.0,3.0
130,1.05,6.6,6.62,4.09,62.6,59.0,9300.0,4.0,3.0,5.0
131,0.4,4.7,6.62,2.92,62.1,56.0,2400.0,0.0,1.0,4.0
132,1.2,6.8,6.62,4.2,62.1,58.0,10100.0,3.0,4.0,3.0
133,1.2,5.9,5.88,3.65,62.5,57.0,2600.0,2.0,0.0,2.0
134,0.75,5.9,5.89,3.64,62.5,56.0,4500.0,1.0,2.0,1.0
135,0.95,6.4,6.41,3.97,62.5,58.0,6900.0,4.0,3.0,3.0
136,1.15,6.9,6.88,4.27,62.5,56.0,9600.0,2.0,1.0,4.0
137,0.55,5.3,6.88,3.29,62.3,59.0,3100.0,0.0,4.0,2.0
138,0.55,6.5,6.52,4.03,62.6,59.0,7700.0,3.0,5.0,1.0
139,0.65,5.6,5.58,3.47,62.6,56.0,3300.0,1.0,2.0,5.0
140,0.8,6.1,6.08,3.47,62.5,57.0,4000.0,0.0,0.0,3.0
141,0.8,6.5,6.53,4.04,62.7,58.0,7900.0,3.0,3.0,2.0
142,1.3,7.1,6.53,4.39,62.7,56.0,10300.0,2.0,1.0,7.0
143,0.7,5.8,5.77,3.59,62.7,55.0,4300.0,0.0,4.0,1.0
144,0.4,4.8,4.78,3.59,62.4,58.0,2100.0,3.0,2.0,4.0
145,1.05,6.7,6.68,4.14,62.4,56.0,7400.0,1.0,0.0,3.0
146,0.85,6.2,6.21,4.14,62.2,57.0,6500.0,0.0,3.0,2.0
147,0.85,5.7,5.69,3.52,62.8,57.0,4100.0,2.0,1.0,1.0
148,0.45,4.9,5.69,3.03,62.1,59.0,2600.0,4.0,4.0,3.0
149,1.2,6.9,6.88,4.27,62.5,56.0,10100.0,3.0,2.0,4.0
150,0.5,5.1,5.12,4.27,62.6,57.0,3200.0,0.0,4.0,1.0
151,0.6,5.5,5.52,3.42,62.6,56.0,3500.0,2.0,1.0,3.0
152,1.4,7.2,5.52,4.45,62.7,58.0,12000.0,1.0,3.0,2.0
153,1.4,6.4,6.41,3.97,62.7,55.0,8000.0,0.0,5.0,1.0
154,0.75,5.9,5.91,3.66,62.3,59.0,4600.0,3.0,1.0,4.0
155,1.1,6.8,6.79,4.21,62.3,57.0,9400.0,0.0,3.0,4.0
156,0.4,4.7,4.69,4.21,62.2,55.0,2200.0,3.0,1.0,1.0
157,0.4,5.4,5.43,3.35,62.2,59.0,2400.0,2.0,0.0,3.0
158,0.75,5.9,5.89,3.35,62.7,56.0,4400.0,1.0,4.0,2.0
159,1.35,7.2,5.89,4.46,62.8,57.0,10700.0,4.0,2.0,5.0
160,1.35,6.6,6.61,4.09,62.6,55.0,7900.0,0.0,4.0,1.0
161,0.9,6.3,6.31,3.9,62.6,58.0,6900.0,3.0,2.0,3.0
162,0.6,5.5,5.49,3.41,62.6,56.0,3600.0,2.0,5.0,2.0
163,0.6,5.7,5.49,3.53,62.4,57.0,2500.0,4.0,0.0,1.0
164,0.85,6.2,5.49,3.84,62.4,59.0,6600.0,3.0,3.0,4.0
165,1.25,6.9,6.91,3.84,62.3,58.0,10500.0,0.0,2.0,3.0
166,0.5,5.2,6.91,3.22,62.1,57.0,3100.0,2.0,4.0,2.0
167,0.95,6.4,6.38,3.96,62.1,56.0,7100.0,1.0,2.0,6.0
168,0.95,6.4,6.38,3.98,62.2,58.0,7600.0,2.0,5.0,1.0
169,0.45,4.8,4.81,3.98,62.5,55.0,2500.0,3.0,4.0,5.0
170,1.3,7.0,7.01,4.34,62.5,57.0,9900.0,4.0,1.0,3.0
171,1.3,6.6,6.62,4.34,62.6,58.0,8100.0,0.0,3.0,2.0
172,0.7,5.8,5.77,3.58,62.6,56.0,4200.0,2.0,2.0,1.0
173,0.55,5.4,5.38,3.58,62.4,59.0,3300.0,1.0,4.0,4.0
174,1.2,6.8,6.81,4.21,62.7,59.0,10100.0,3.0,0.0,3.0
175,1.05,6.6,6.65,4.11,62.7,58.0,9200.0,2.0,3.0,4.0
176,0.35,4.5,4.49,4.11,62.3,56.0,2100.0,3.0,1.0,1.0
177,0.8,6.0,6.01,3.72,62.3,58.0,4900.0,0.0,4.0,2.0
178,1.4,6.5,6.52,4.03,62.6,59.0,7900.0,1.0,4.0,2.0
179,0.5,5.1,5.11,4.03,62.5,55.0,2900.0,3.0,2.0,5.0
180,1.35,7.1,7.12,4.4,62.5,56.0,9900.0,4.0,0.0,1.0
181,0.65,5.5,7.12,3.41,62.2,57.0,3400.0,2.0,2.0,4.0
182,1.15,6.8,6.85,4.23,62.7,57.0,9800.0,3.0,4.0,3.0
183,0.4,4.7,6.85,2.91,62.1,58.0,2000.0,0.0,2.0,2.0
184,0.95,6.4,6.42,3.96,62.1,56.0,7100.0,4.0,1.0,3.0
185,0.45,4.9,4.89,3.96,62.4,59.0,2300.0,2.0,1.0,4.0
186,1.25,6.9,4.89,4.27,62.4,55.0,10400.0,1.0,3.0,2.0
187,0.85,6.1,6.13,3.78,62.3,58.0,6300.0,0.0,2.0,5.0
188,0.85,6.4,6.43,3.97,62.5,58.0,7500.0,2.0,4.0,3.0
